role_family,postings,companies,earliest_posting_date,latest_posting_date,salary_postings,salary_coverage_pct,median_salary_usd,salary_p25_usd,salary_p75_usd,remote_tagged_postings,remote_tagged_pct
Business Analyst,535,387,2024-03-14,2024-04-19,141,26.36,102000.0,83200.0,127500.0,121,22.62
Data Analyst,430,292,2024-03-17,2024-04-19,141,32.79,100000.0,84300.0,127500.0,149,34.65
Data Engineer,411,281,2024-03-06,2024-04-19,128,31.14,140000.0,125000.0,168725.0,123,29.93
Data Scientist,338,239,2024-03-11,2024-04-19,121,35.8,166700.0,127500.0,193500.0,108,31.95
BI Analyst,214,163,2024-03-11,2024-04-19,79,36.92,120000.0,90000.0,137390.0,59,27.57
Product Analyst,26,21,2024-03-24,2024-04-19,9,34.62,83000.0,64480.0,104000.0,7,26.92
Analytics Engineer,23,22,2024-03-23,2024-04-19,13,56.52,167500.0,145600.0,215350.0,10,43.48
